,Rank,Restaurant,Sales,YOY_Sales,Units,YOY_Units,Segment_Category
0,1,McDonald's,40412,4.9%,13846,-0.5%,Quick Service & Burger
1,2,Starbucks,21380,8.6%,15049,3.0%,Quick Service & Coffee Cafe
2,3,Chick-fil-A,11320,13.0%,2470,5.0%,Quick Service & Chicken
3,4,Taco Bell,11293,9.0%,6766,2.7%,Quick Service & Mexican
4,5,Burger King,10204,2.7%,7346,0.2%,Quick Service & Burger
5,6,Subway,10200,-2.0%,23801,-4.0%,Quick Service & Sandwich
6,7,Wendy's,9762,4.2%,5852,0.7%,Quick Service & Burger
7,8,Dunkin',9228,5.0%,9630,2.2%,Quick Service & Coffee Cafe
8,9,Domino's,7044,6.9%,6126,4.3%,Quick Service & Pizza
9,10,Panera Bread,5890,4.0%,2160,3.2%,Fast Casual & Bakery Cafe
10,11,Pizza Hut,5558,0.6%,7306,-2.4%,Quick Service & Pizza
11,12,Chipotle Mexican Grill,5509,14.8%,2584,5.3%,Fast Casual & Mexican
12,13,Sonic Drive-In,4687,4.6%,3526,-2.1%,Quick Service & Burger
13,14,KFC,4546,2.5%,4065,-0.2%,Quick Service & Chicken
14,15,Olive Garden,4287,5.0%,866,1.3%,Casual Dining & Italian/Pizza
15,16,Applebee's,4085,-3.0%,1665,-1.7%,Casual Dining & Varied Menu
16,17,Panda Express,3946,12.0%,2209,4.9%,Fast Casual & Asian/Noodle
17,18,Arby's,3884,1.9%,3359,0.9%,Quick Service & Sandwich
18,19,Popeyes Louisiana Kitchen,3812,18.3%,2476,5.5%,Quick Service & Chicken
19,20,Little Caesars,3811,2.7%,4237,-0.6%,Quick Service & Pizza
20,21,Dairy Queen,3760,2.9%,4381,-0.6%,Quick Service & Frozen Desserts
21,22,Buffalo Wild Wings,3669,-0.1%,1206,-0.2%,Casual Dining & Sports Bar
22,23,Chili's Grill & Bar,3563,2.2%,1242,-0.7%,Casual Dining & Varied Menu
23,24,Jack in the Box,3504,1.1%,2243,0.3%,Quick Service & Burger
24,25,IHOP,3266,2.0%,1710,0.3%,Family Dining & Family Style
25,26,Texas Roadhouse,3016,11.0%,553,3.8%,Casual Dining & Steak
26,27,Denny's,2691,1.1%,1558,-1.5%,Family Dining & Family Style
27,28,Papa John's,2638,-2.7%,3142,-1.8%,Quick Service & Pizza
28,29,Outback Steakhouse,2635,0.9%,724,-1.2%,Casual Dining & Steak
29,30,Whataburger,2556,5.8%,830,0.6%,Quick Service & Burger
30,31,Red Lobster,2490,1.6%,679,0.1%,Casual Dining & Seafood
31,32,Cracker Barrel,2482,1.8%,660,0.8%,Family Dining & Family Style
32,33,The Cheesecake Factory,2180,2.5%,206,2.5%,Casual Dining & Varied Menu
33,34,Jimmy John's Gourmet Sandwiches,2105,-1.6%,2787,-0.5%,Fast Casual & Sandwich
34,35,Hardee's,2020,-4.0%,1820,-1.4%,Quick Service & Burger
